epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3573,1.44675,1.97569,0.00879,0.75485,0.55399,0.62263,0.34596,1.5998,1.69333,0.01542,0.0033033,0.0033033,0.0702703
2,100.861,1.53838,1.0203,0.00978,0.80433,0.6667,0.74048,0.39922,1.68063,2.48951,0.01548,0.00663015,0.00663015,0.0402638
3,133.351,1.56512,0.94485,0.00984,0.55924,0.3672,0.41184,0.21597,1.98236,3.58043,0.02128,0.00993105,0.00993105,0.0102314
4,166.561,1.52061,0.8813,0.00936,0.81418,0.7303,0.81636,0.46842,1.5542,2.22168,0.01371,0.00991232,0.00991232,0.00991232
5,199.062,1.48347,0.79347,0.00911,0.76165,0.62455,0.70497,0.40522,1.64977,2.92275,0.01584,0.00984449,0.00984449,0.00984449
6,231.263,1.4194,0.73532,0.00858,0.79944,0.72392,0.82832,0.47051,1.56466,1.42864,0.01453,0.00975773,0.00975773,0.00975773
7,263.864,1.41268,0.7133,0.00843,0.85583,0.78815,0.86564,0.45158,1.68739,0.79643,0.01575,0.00965239,0.00965239,0.00965239
8,295.944,1.40287,0.66486,0.00837,0.91928,0.85612,0.92082,0.56843,1.42317,0.61161,0.01154,0.00952889,0.00952889,0.00952889
9,329.266,1.40314,0.65402,0.00834,0.92639,0.84692,0.92379,0.60596,1.29102,0.66638,0.0104,0.00938772,0.00938772,0.00938772
10,361.645,1.34384,0.63539,0.00798,0.89563,0.81731,0.89319,0.55001,1.43158,0.79344,0.01185,0.00922942,0.00922942,0.00922942
11,393.744,1.3538,0.60775,0.00804,0.91295,0.86378,0.91904,0.60806,1.29754,0.60867,0.01104,0.00905463,0.00905463,0.00905463
12,426.223,1.34875,0.58861,0.00784,0.91269,0.87062,0.93152,0.58738,1.37879,0.61409,0.01144,0.00886404,0.00886404,0.00886404
13,458.458,1.3367,0.59105,0.00783,0.92085,0.86788,0.92524,0.59278,1.28953,0.66607,0.00997,0.00865839,0.00865839,0.00865839
14,490.793,1.33923,0.57885,0.00779,0.92943,0.89385,0.94548,0.61957,1.29531,0.50532,0.01053,0.00843851,0.00843851,0.00843851
15,522.937,1.31027,0.54668,0.00756,0.95223,0.87472,0.9451,0.63648,1.26323,0.50001,0.01028,0.00820525,0.00820525,0.00820525
16,555.044,1.28994,0.54503,0.00735,0.94184,0.89476,0.94313,0.63378,1.26489,0.48703,0.00978,0.00795954,0.00795954,0.00795954
17,587.316,1.29672,0.53412,0.00736,0.94794,0.88337,0.94334,0.63838,1.2794,0.49815,0.0104,0.00770234,0.00770234,0.00770234
18,619.33,1.28823,0.52732,0.00735,0.95625,0.9062,0.95348,0.63001,1.31388,0.47019,0.01067,0.00743468,0.00743468,0.00743468
19,651.394,1.27461,0.52434,0.00729,0.94405,0.88406,0.94432,0.6343,1.24529,0.47614,0.00995,0.00715761,0.00715761,0.00715761
20,683.757,1.26824,0.50677,0.00711,0.95568,0.89704,0.94026,0.61377,1.3113,0.52293,0.01106,0.00687222,0.00687222,0.00687222
21,716.066,1.26458,0.50474,0.00714,0.95284,0.91617,0.95683,0.64934,1.23694,0.44122,0.00956,0.00657963,0.00657963,0.00657963
22,748.564,1.2514,0.48737,0.00705,0.95855,0.91663,0.95764,0.65502,1.21644,0.43131,0.00929,0.00628101,0.00628101,0.00628101
23,780.625,1.24004,0.48019,0.00693,0.96462,0.90979,0.95917,0.6481,1.24527,0.44216,0.00987,0.00597754,0.00597754,0.00597754
24,812.632,1.23636,0.47024,0.00697,0.96977,0.90626,0.96098,0.66562,1.21405,0.42415,0.00939,0.0056704,0.0056704,0.0056704
25,845.006,1.22802,0.47808,0.00678,0.96047,0.89664,0.95442,0.65377,1.22167,0.45304,0.00947,0.00536081,0.00536081,0.00536081
26,876.947,1.22169,0.47703,0.0067,0.95846,0.92496,0.96161,0.66699,1.20004,0.40734,0.00899,0.00505,0.00505,0.00505
27,908.911,1.21593,0.45917,0.00671,0.96929,0.91481,0.96546,0.67014,1.18411,0.41133,0.00881,0.00473919,0.00473919,0.00473919
28,941.248,1.21207,0.46103,0.00665,0.97699,0.90917,0.96297,0.67262,1.18907,0.40186,0.00893,0.0044296,0.0044296,0.0044296
29,973.381,1.19165,0.45129,0.00659,0.95934,0.92435,0.965,0.67275,1.17521,0.39822,0.0088,0.00412246,0.00412246,0.00412246
30,1005.45,1.18868,0.44581,0.00642,0.96837,0.91435,0.96648,0.68295,1.171,0.40449,0.00865,0.00381899,0.00381899,0.00381899
31,1037.84,1.17504,0.43767,0.00643,0.95546,0.91207,0.95822,0.66075,1.19378,0.41884,0.009,0.00352037,0.00352037,0.00352037
32,1069.87,1.17298,0.44025,0.00633,0.96566,0.91663,0.96478,0.69126,1.14731,0.39849,0.00841,0.00322778,0.00322778,0.00322778
33,1102.22,1.16123,0.4281,0.00643,0.96709,0.92379,0.96593,0.68754,1.15437,0.3832,0.00848,0.00294239,0.00294239,0.00294239
34,1134.33,1.16517,0.41971,0.00632,0.96456,0.92802,0.9667,0.69057,1.14896,0.39393,0.00849,0.00266532,0.00266532,0.00266532
35,1166.4,1.15753,0.41541,0.00627,0.96281,0.92756,0.96865,0.69032,1.13897,0.38608,0.00834,0.00239766,0.00239766,0.00239766
36,1198.78,1.14921,0.41938,0.00622,0.96883,0.9203,0.96498,0.68788,1.14316,0.38791,0.00841,0.00214046,0.00214046,0.00214046
37,1230.88,1.14247,0.4033,0.00613,0.97195,0.93152,0.96816,0.69035,1.16008,0.37955,0.00862,0.00189475,0.00189475,0.00189475
